location_ID,street,city,state,zipcode
L3651,7050 Refuge Rd,Pottsboro,Texas,75076
L3652,1399 11th Rd,Bark River,Michigan,49807
L3653,949 Austrian Way,Avon,Indiana,46123
L3983,22401 Lincon Dr,Shelton,Washington,98584
L3991,46093 Lucca Way,Lexington Park,Maryland,20653
L3999,2407 Frank St,Marshall,Texas,75670
L4007,603 Needlegrass Pky,Antioch,Illinois,60002
L4015,1118 Boulder Rd,Deer Lodge,Montana,59722
L4023,12404 Channelview Dr,Newburg,Maryland,20664
L4031,2000 N Alder St #25,Ellensburg,Washington,98926
L4039,2479 Hillsdale Rd,Meadow Vista,California,95722
L4047,535 N 450th W,Seattle,Washington,98101
L4055,26 Longwood Cir,Kingston,Massachusetts,12364
L4090,46 Ridge Dr,Montville,New Jersey,17045
L5090,8365 Church Rd,Soldiers Grove,Wisconsin,54655